Samples,Euryarchaeota,Deferribacterota,Methylomirabilota,Bdellovibrionota,Proteobacteria,Firmicutes_A,Desulfobacterota,Campylobacterota,UBP10,Planctomycetota,Firmicutes,Cyanobacteriota,Myxococcota,Actinobacteriota,Firmicutes_C,Bacteroidota,Acidobacteriota,Nitrospirota,Fusobacteriota,Spirochaetota,Verrucomicrobiota,Desulfuromonadota,unclassified_Bacteria,Chloroflexota,MBNT15,Gemmatimonadota,Patescibacteria,Armatimonadota,Crenarchaeota
100001.c.062,0,0,0,0,66.65740792,0,0,0,0,0,3.00538859,0,0,0,29.65946336,0.677740126,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.060,0,0,0,0,43.45794393,0,0,0,0,0,0.85386576,0,0,0.021240442,0,55.62871708,0,0,0,0,0.038232795,0,0,0,0,0,0,0,0
100001.c.054,0,0,0,0,55.86501621,0.098241478,0,0,0,0,0.068769034,0,0,0.06385696,0,43.90411632,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.053,0,0,0,0,40.71739774,0.008459879,0,0,0,0,1.323971067,0,0,0.046529335,0,57.79366355,0,0,0,0,0,0,0.109978427,0,0,0,0,0,0
100002.c.057,0,0,0,0,78.30463825,3.415184872,0,0,0,0,0.762066046,0,0,0.470411139,16.18214319,0,0,0,0,0,0,0,0.865556496,0,0,0,0,0,0
100002.c.056,0,0,0,0,77.72847432,3.417673716,0,0,0,0,0.070808157,0,0,0.028323263,1.397280967,0.023602719,0,0,0,0,0.033043807,0,17.30079305,0,0,0,0,0,0
100003.c.057,0,0.013331556,0,0,86.81064747,0.182197929,0,0,0,0,0,0,0,0,12.43834155,0.062213927,0,0,0,0,0.031106964,0,0.462160601,0,0,0,0,0,0
100003.c.055,0,0,0,0,99.50504983,0,0,0,0,0,0,0,0,0.321048759,0,0,0,0,0,0,0,0,0.173901411,0,0,0,0,0,0
100003.c.054,0,0,0,0,99.70466036,0,0,0,0,0,0.065074836,0,0,0,0,0,0,0,0,0,0.01501727,0,0.215247535,0,0,0,0,0,0
100003.c.053,0,0,0,0,90.36300578,0.134104046,0,0,0,0,0.143352601,0,0,0.078612717,8.56416185,0.027745665,0,0,0,0,0.055491329,0,0.633526012,0,0,0,0,0,0
100004.c.059,0,0,0,0,90.15907728,0.049380974,0,0,0,0,4.119784135,0,0,0.052908187,0,0.088180311,0,0,0,0,0.049380974,0,5.481288138,0,0,0,0,0,0
100004.c.057,0,0,0,0,97.04758955,0.041292454,0,0,0,0,1.641375039,0,0,0.092908021,0,0,0,0,0,0,0.03096934,0,1.145865593,0,0,0,0,0,0
100004.c.055,0,0,0,0,92.26516535,0.040576182,0,0,0,0,0.101440454,0,0,0.223169,0.025360114,0.040576182,0,0,0,0,0,0,7.303712721,0,0,0,0,0,0
100004.c.054,0,0,0,0,91.5055861,0,0,0,0,0,0.094579417,0,0,0,0,0,0,0,0,0,0,0,8.399834486,0,0,0,0,0,0
100005.c.054,0,0,0,0,97.76582924,0,0,0,0,0,0,0,0,0,0,0.018540836,0,0,0,0,0,0,2.215629925,0,0,0,0,0,0
100010.c.058,0,0,0,0,61.35509265,12.22413869,0,0,0,0,0.11498828,0,0,0.008845252,26.09349432,0,0,0,0,0,0,0,0.203440803,0,0,0,0,0,0
100010.c.055,0,0,0,0,96.76237353,0.311730927,0,0,0,0,0.546896363,0,0,0,1.968826907,0.027344818,0,0,0,0,0.016406891,0,0.366420563,0,0,0,0,0,0
100011.c.057,0,0,0,0,50.59929928,0,0,0,0,0,2.42793042,0,0,0,46.82525048,0,0,0,0,0,0.030733296,0,0.116786527,0,0,0,0,0,0
100011.c.056,0,0,0,0,58.79061014,0,0,0,0,0,0.980586371,0,0,0,37.10875594,0,0,0,0,0,0,0,3.120047544,0,0,0,0,0,0
100011.c.055,0,0.017059994,0,0,99.78390674,0,0,0,0,0,0,0,0,0,0.039806653,0,0,0,0,0,0,0,0.159226614,0,0,0,0,0,0
100011.c.054,0,0,0,0,92.57774706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138217,0,7.408431237,0,0,0,0,0,0
100011.c.053,0,0,0,0,9.576971818,0,0,0,0,0,0.229316275,0,0,6.185504798,0,0,0,0,0,0,0,0,84.00820711,0,0,0,0,0,0
100012.c.058,0,0,0,0,84.41077966,0,0,0,0,0,15.24262014,0,0,0,0.031155074,0,0,0,0,0,0.035049459,0,0.280395669,0,0,0,0,0,0
100012.c.057,0,0,0,0,0.720793449,0,0,0,0,0,0.080728866,0,0,0.103794257,0,0.017299043,0,0,0,0,0,0,99.07738438,0,0,0,0,0,0
100012.c.056,0,0,0,0,7.907202721,0,0,0,0,0,0.139681768,0,0,11.18668772,0.060731204,0,0,0,0,0,0.018219361,0,80.68747723,0,0,0,0,0,0
100012.c.055,0,0,0,0,77.58430349,0.03010839,0,0,0,0,0.025090325,0,0,0,22.27017262,0,0,0,0,0,0.045162585,0,0.045162585,0,0,0,0,0,0
